----- Base data -----
Date,SP500,RFR,VOL,Returns
2018-12-03,2790.3701,0.022879999999999998,0.16440000000000002,2018-12-31,2795.2686389244577,2795.0,50.53000042000599,22.24692435502857,-0.45736961176280955
2018-12-04,2700.0601,0.023650000000000004,0.2074,2018-12-31,2704.7846211740875,2705.0,60.842525147840206,116.9370734312381,1.3142108145508749
2018-12-06,2695.95,0.023530000000000002,0.2119,2018-12-31,2700.2954355801985,2705.0,62.04711278205491,62.04711278205491,0.019798449050030253
2018-12-07,2633.0801,0.0234,0.2323,2018-12-31,2637.131777491161,2705.0,102.90788827069173,102.90788827069173,0.6585443489073104
2018-12-10,2637.72,0.0233,0.22640000000000002,2018-12-31,2641.2559377687335,2705.0,95.12508761847948,95.12508761847948,-0.07562880536174388
2018-12-11,2636.78,0.023700000000000002,0.21760000000000002,2018-12-31,2640.2040795382054,2705.0,92.60089886048468,92.60089886048468,-0.026535468415215924
2018-12-12,2651.0701,0.02375,0.2146,2019-01-18,2657.455952181002,2655.0,70.97234468132478,81.39791715498791,-0.12098134946158046
2018-12-13,2650.54,0.02363,0.2065,2019-01-18,2656.720394567583,2655.0,67.66310557431802,67.66310557431802,-0.04662716332489347
2018-12-14,2599.95,0.02368,0.2163,2019-01-18,2605.856325025171,2655.0,97.3176412056464,97.3176412056464,0.43826743362758
2018-12-17,2545.9399,0.0234,0.2452,2019-01-18,2551.1646920352337,2550.0,73.10276154023018,138.08695510524694,0.41893035419394353
2018-12-18,2546.1599,0.02328,0.25579999999999997,2019-01-18,2551.1957088967024,2550.0,75.06715757820757,75.06715757820757,0.026871707669980927
2018-12-19,2506.96,0.02338,0.25579999999999997,2019-01-18,2511.778812212359,2550.0,94.49639999493183,94.49639999493183,0.2588248049286028
2018-12-20,2467.4199,0.02335,0.2838,2019-01-18,2471.998580720346,2470.0,77.67095819441238,124.8198804325059,0.3208956154858851
2018-12-21,2416.6201,0.0233,0.3011,2019-01-18,2420.9404609457565,2470.0,107.98783516684216,107.98783516684216,0.39032448777760487
2018-12-24,2351.1001,0.023330000000000004,0.3607,2019-01-18,2354.8574568265226,2355.0,88.55303610969486,159.4675508992941,0.4767177307787991
2018-12-26,2467.7,0.023799999999999998,0.3041,2019-01-18,2471.401113543457,2470.0,74.38859795068493,29.401956204885778,-0.6679734823720309
2018-12-27,2488.8301,0.02348,0.29960000000000003,2019-01-18,2492.3524534989165,2470.0,62.04708873180061,62.04708873180061,-0.16590592589291686
2018-12-28,2485.74,0.02328,0.2834,2019-01-18,2489.0693421329033,2470.0,58.023870394270716,58.023870394270716,-0.06484137160601222
2018-12-31,2506.8501,0.023,0.25420000000000004,2019-01-31,2511.7484704920885,2510.0,73.15077672560756,38.37669140226842,-0.33860510956094836
2019-01-02,2510.03,0.023650000000000004,0.2322,2019-01-31,2514.747649196566,2510.0,63.10155618653175,63.10155618653175,-0.13737681250837508
2019-01-03,2447.8899,0.02355,0.2545,2019-01-31,2452.313162178776,2510.0,102.15350098012254,102.15350098012254,0.6188745120350287
2019-01-04,2531.9399,0.02358,0.2138,2019-01-31,2536.357122676873,2510.0,46.18750449524396,46.18750449524396,-0.5478617565517279
2019-01-07,2549.6899,0.023530000000000002,0.214,2019-01-31,2553.635073312559,2510.0,36.23807657155669,36.23807657155669,-0.2154138447707601
2019-01-08,2574.4099,0.024,0.2047,2019-01-31,2578.3035307630594,2510.0,24.902235575033274,24.902235575033274,-0.31281574710896576
2019-01-09,2584.96,0.0239,0.1998,2019-01-31,2588.683889784348,2590.0,51.23559238782764,20.058319371139532,-0.1945173231254066
2019-01-10,2596.6399,0.02375,0.195,2019-01-31,2600.1880417292227,2590.0,43.42018547841076,43.42018547841076,-0.1525386268642741
2019-01-11,2596.26,0.023700000000000002,0.1819,2019-01-31,2599.6314609265323,2590.0,39.359726467733026,39.359726467733026,-0.09351546903678387
2019-01-14,2582.6101,0.0236,0.1907,2019-02-15,2587.9554932168176,2590.0,59.197746036931676,44.73493541298831,0.13656621698481208
2019-01-15,2610.3,0.02383,0.18600000000000003,2019-02-15,2615.5847591130755,2590.0,44.300246188511665,44.300246188511665,-0.25165653839465296
2019-01-16,2616.1001,0.02363,0.19039999999999999,2019-02-15,2621.182520923351,2590.0,42.39919646122189,42.39919646122189,-0.042912847915115404
